Superficie,Prix,Adresse,Img_link
1000,800000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4543553_uploaded_image1_1705155922.jpg
300,75000000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4529883_uploaded_image1_1704497637.jpg
317,140000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4543526_uploaded_image1_1705154649.jpg
280,270000000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4515175_uploaded_image1_1703633460.jpg
150,2000000,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4533706_uploaded_image1_1704716356.jpg
317,140000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4536909_uploaded_image1_1704843072.jpg
150,4500000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4562433_uploaded_image1_1706189240.jpg
155,75000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4523058_uploaded_image1_1704195492.jpg
1004,1000000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4537905_uploaded_image1_1704888959.jpg
300,3500000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4562414_uploaded_image1_1706188611.jpg
150,8500000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4537992_uploaded_image1_1704891579.69.jpeg
300,2499500,"Mboro, Sénégal",https://images.coinafrique.com/thumb_4557624_uploaded_image1_1705928568.73.jpeg
209,8000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4537933_uploaded_image1_1704889508.jpg
270,35000000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4562329_uploaded_image1_1706185743.jpg
311,180000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4537513_uploaded_image1_1704881733.jpg
200,1400000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4552676_uploaded_image1_1705626020.jpg
10,3000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4531659_uploaded_image1_1704587182.jpg
400,290000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4538846_uploaded_image1_1704929205.jpg
10000,1300000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4554217_uploaded_image1_1705707241.jpg
200,90000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4561582_uploaded_image1_1706139986.jpg
357,310000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4561577_uploaded_image1_1706139583.jpg
200,35000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4520794_uploaded_image1_1703971981.jpg
150,2500000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4547094_uploaded_image1_1705358797.jpg
200,35000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4523937_uploaded_image1_1704229716.jpg
180,28000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4543972_uploaded_image1_1705182830.jpg
300,320000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4521595_uploaded_image1_1704054998.jpg
200,105000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4521579_uploaded_image1_1704054175.jpg
150,25000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4543949_uploaded_image1_1705180463.jpg
150,19000000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4543952_uploaded_image1_1705180567.jpg
337,415000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4561427_uploaded_image1_1706130312.jpg
300,4000000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4552394_uploaded_image1_1705609183.jpg
200,90000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4543869_uploaded_image1_1705175741.jpg
382,600000000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4527150_uploaded_image1_1704380301.jpg
2,20000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4517745_uploaded_image1_1703776467.jpg
225,4000000,"Ndiass, Sénégal",https://images.coinafrique.com/thumb_4560949_uploaded_image1_1706109826.jpg
150,3500000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4522011_uploaded_image1_1704114852.jpg
