Type_annonce,Nombre_pieces,Prix,Adresse,Image_link
Location,5,2800000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4534792_uploaded_image1_1704759267.jpg
location,5,1800000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4534775_uploaded_image1_1704758711.jpg
Location,9,3000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4537983_uploaded_image1_1704891381.jpg
Location,6,1500000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4560806_uploaded_image1_1706104822.jpg
Location,14,111111,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4538938_uploaded_image1_1704934435.jpg
Location,10,10000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4534823_uploaded_image1_1704761080.jpg
Location,11,4000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4514963_uploaded_image1_1703622402.jpg
Vente,8,80000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4562455_uploaded_image1_1706189927.jpg
Vente,11,125000000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4528275_uploaded_image1_1704445611.6.jpeg
Location,5,800000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4562366_uploaded_image1_1706187351.jpg
Location,5,4000000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4537791_uploaded_image1_1704886865.jpg
Vente,4,37000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4521126_uploaded_image1_1704018522.jpg
Location,5,1200000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4553256_uploaded_image1_1705664568.jpg
Vente,5,150000000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4541240_uploaded_image1_1705052068.jpg
Vente,4,130000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4541232_uploaded_image1_1705051599.jpg
Location,5,800000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4543101_uploaded_image1_1705136965.jpg
Vente,4,45000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4561743_uploaded_image1_1706163846.jpg
Vente,8,100000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4548820_uploaded_image1_1705449133.jpg
Vente,6,90000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4548805_uploaded_image1_1705448136.jpg
Vente,4,140000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4542624_uploaded_image1_1705100725.jpg
Location,4,500000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4524012_uploaded_image1_1704233460.jpg
Vente,5,155000000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4520791_uploaded_image1_1703971681.jpg
Vente,7,400000000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4520785_uploaded_image1_1703970927.jpg
Vente,5,127000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4538721_uploaded_image1_1704921969.jpg
Vente,9,75000000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4543938_uploaded_image1_1705179953.jpg
Vente,8,160000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4548649_uploaded_image1_1705438415.jpg
Vente,7,180000000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4561406_uploaded_image1_1706129408.jpg
Vente,8,500000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4543864_uploaded_image1_1705175333.jpg
Vente,8,350000000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4543861_uploaded_image1_1705175027.jpg
Vente,5,50000000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4561388_uploaded_image1_1706128309.jpg
Location,4,600000,"Toubab Dialao, Sénégal",https://images.coinafrique.com/thumb_4561347_uploaded_image1_1706126376.jpg
Vente,3,130000000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4520686_uploaded_image1_1703960268.jpg
Location,5,1400000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4546689_uploaded_image1_1705339900.jpg
Location,7,2150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4534239_uploaded_image1_1704732093.jpg
Vente,5,39000000,"Niaga, Sénégal",https://images.coinafrique.com/thumb_4553782_uploaded_image1_1705685079.jpg
Location,5,750000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4552225_uploaded_image1_1705597908.jpg
Location,7,2500000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4527231_uploaded_image1_1704382541.jpg
Location,5,800000,"Djily MBaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4531095_uploaded_image1_1704556879.jpg
Vente,5,375000000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4522044_uploaded_image1_1704117064.jpg
