web-scraper-order,web-scraper-start-url,details,prix,adresse,image link,image link-href
"1706212494-1","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Almadies","1 300 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-3812636"
"1706212494-2","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Virage","700 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-virage-3812645"
"1706212494-3","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Cité Keur Gorgui","450 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cite-keur-gorgui-3812602"
"1706212494-4","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements - Yoff","400 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-yoff-3812562"
"1706212494-5","https://sn.coinafrique.com/categorie/appartements?page=50","Location Appartements 4 pièces - Dakar","350 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-dakar-3852623"
"1706212494-6","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Mermoz Sacré Coeur","2 500 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3812314"
"1706212494-7","https://sn.coinafrique.com/categorie/appartements?page=50","Vente appartements 3 pièces - Almadies","125 000 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/vente-appartements-3-pieces-almadies-3826566"
"1706212494-8","https://sn.coinafrique.com/categorie/appartements?page=50","Location  appartement F3 à Ouest foire","225 000CFA","Ouest Foire, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-a-ouest-foire-3812003"
"1706212494-9","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartements 8 pièces  - Keur Massar unités 23","175 000CFA","Keur Massar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-8-pieces-keur-massar-unites-23-3852038"
"1706212494-10","https://sn.coinafrique.com/categorie/appartements?page=50","Location Appartements 4 pièces - Almadies","1 300 000CFA","Almadies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-almadies-3815063"
"1706212494-11","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces à Ouakam Comico","350 000CFA","Ouakam, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-a-ouakam-comico-3825752"
"1706212494-12","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Liberté 6","430 000CFA","Sicap Liberté, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-liberte-6-3838862"
"1706212494-13","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 3 pièces - Ngor Almadies","450 000CFA","Ngor, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-ngor-almadies-3851479"
"1706212494-14","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pèces - Almadie 2","210 000CFA","Almadies 2, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-peces-almadie-2-3851413"
"1706212494-15","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Mamelles","325 000CFA","Mamelles, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3825113"
