web-scraper-order,web-scraper-start-url,superficie,prix,adresse,image link,image link-href
"1706205942-1","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 6 ha -  Nguérigne","900 000 000CFA","Ngaparou, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/terrains/terrain-6-ha-nguerigne-3708997"
"1706205942-2","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 2 ha - Nguérigne","300 000 000CFA","Ngaparou, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/terrains/terrains-2-ha-nguerigne-3708993"
"1706205942-3","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains - Gapp","1 500 000CFA","Ndiass, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/terrains/terrains-gapp-3708838"
"1706205942-4","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 150 m2 - Keur massar","9 000 000CFA","Keur Massar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-keur-massar-3708699"
"1706205942-5","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 150m²  - Rufisque Noflaye","6 000 000CFA","Rufisque, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150m-rufisque-noflaye-3708331"
"1706205942-6","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 600 m2 - Thies","60 000 000CFA","Thies, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/terrains/vente-terrains-600-m2-thies-3673025"
"1706205942-7","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m² - Gorom 2","3 500 000CFA","Almadies 2, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-gorom-2-3708025"
"1706205942-8","https://sn.coinafrique.com/categorie/terrains?page=50","Vente villa à démolir - Tivaoune Wolof","22 000 000CFA","Thies, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-tivaoune-wolof-3707516"
"1706205945-9","https://sn.coinafrique.com/categorie/terrains?page=49","Terrains 150 m2 - Keur Massar","11 000 000CFA","Keur Massar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-keur-massar-3723860"
"1706205945-10","https://sn.coinafrique.com/categorie/terrains?page=49","Terrain 150 m² - Lac Rose","2 000 000CFA","Grand Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-lac-rose-3684262"
