web-scraper-order,web-scraper-start-url,details,prix,adresse,image link,image link-href
"1706212160-1","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa meublée 3 Pièces 1000 m² - Ngaparou","235 000 000CFA","Thies, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-meublee-3-pieces-1000-m-ngaparou-3401646"
"1706212160-2","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa meublée  6 pièces - Ngaparou","125 000 000CFA","Thies, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-meublee-6-pieces-ngaparou-3401612"
"1706212160-3","https://sn.coinafrique.com/categorie/villas?page=50","Location villa 5 pièces - Sipresse","800 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-sipresse-3401084"
"1706212160-4","https://sn.coinafrique.com/categorie/villas?page=50","Vente villas 4 pièces - Mbour","Prix sur demande","Mbour, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villas-4-pieces-mbour-3350903"
"1706212160-5","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 6 pièces - Diamalaye Yoff","260 000 000CFA","Yoff, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-diamalaye-yoff-3352743"
"1706212160-6","https://sn.coinafrique.com/categorie/villas?page=50","Location villa 8 pièces - Mermoz sotrac","3 000 000CFA","Yoff, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/location-villa-8-pieces-mermoz-sotrac-3351141"
"1706212160-7","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 4 Pièces - Zone de Mbao","200 000CFA","Mbao, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-zone-de-mbao-3400854"
"1706212160-8","https://sn.coinafrique.com/categorie/villas?page=50","Location villa - Cité Gadaye","300 000CFA","Guediawaye, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/location-villa-cite-gadaye-3400705"
"1706212160-9","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa - Grand yoff","35 000 000CFA","Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-grand-yoff-3400584"
"1706212160-10","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa - Khar yalla","38 000 000CFA","Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-khar-yalla-3400582"
"1706212160-11","https://sn.coinafrique.com/categorie/villas?page=50","Location villa 10 pièces - Nord foire","800 000CFA","Yoff, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/location-villa-10-pieces-nord-foire-3400506"
"1706212160-12","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 4 places - Keur Massar","27 000 000CFA","Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-places-keur-massar-3400204"
"1706212160-13","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 4 pièces - Thiaroye","25 000 000CFA","Pikine, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-thiaroye-3399845"
"1706212160-14","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 420 m² - Saly Mbour","2 000 000 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-420-m-saly-mbour-3399080"
"1706212160-15","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 4 pièces - Mbour","200 000 000CFA","Mbour, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mbour-3399060"
"1706212160-16","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 400 m² - Rufisque","31 000 000CFA","Rufisque, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-400-m-rufisque-3398957"
"1706212160-17","https://sn.coinafrique.com/categorie/villas?page=50","Location villa R+1 - Ouakam","2 000 000CFA","Ouakam, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/location-villa-r1-ouakam-3350068"
"1706212160-18","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa R+2 - Mamelles Cité Cheikh Amar","17 500 000CFA","Almadies, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/location-villa-r2-mamelles-cite-cheikh-amar-3348791"
"1706212160-19","https://sn.coinafrique.com/categorie/villas?page=50","Location villa duplex R+2 - Almadies","185 000 000CFA","Ngor, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/location-villa-duplex-r2-almadies-3349977"
"1706212160-20","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa duplex R+2 - Ngor Almadies","185 000 000CFA","Ngor, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-duplex-r2-ngor-almadies-3349995"
"1706212160-21","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 05 pièces - Mermoz Sacré Coeur","1 800 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/location-villa-05-pieces-mermoz-sacre-coeur-3350481"
"1706212160-22","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa inachevée - Tivaouane Peul","Prix sur demande","Cambérène, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-inachevee-tivaouane-peul-3397879"
"1706212160-23","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa r+2 - Parcelles Assainies","50 000 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-parcelles-assainies-3397845"
"1706212160-24","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 4 pièces - Niankoul Rab","18 000 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-niankoul-rab-3397601"
"1706212160-25","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 4 pièces - Guédiawaye","40 000 000CFA","Guediawaye, Dakar, Sénégal","favorite_border2années","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-guediawaye-3397467"
